Name,Radius,Mass,Distance
TWA 28,0.24560357,0.034365168,180.0
Cha 110913-773444,0.1849733999999999,0.007636704,163.0
SDSS J111010.01+011613.1,0.12742612,0.008591292,63.0
2MASS J11145133âˆ’2618235,0.0986524799999999,0.031501404,18.2
TWA 26,0.2260786,0.02863764,137.0
2MASS J11544223-3400390Â [de],0.1541445,0.035319756,129.0
2MASSW J1155395-372735Â [de],0.102763,0.061093632,31.0
2MASS J12074836-3900043,0.17572473,0.016227996,217.0
2MASSI J1217110-031113Â [de],0.0965972199999999,0.040092696,36.0
2M 1237+6526,0.0965972199999999,0.039138108,45.6
TWA 29,0.205526,0.0238647,262.0
SDSSp J125453.90-012247.4Â [de],0.1007077399999999,0.044865636,38.0
Kelu-1A,0.1007077399999999,0.060139044,61.0
Kelu-1B,0.1007077399999999,0.055366104,61.0
2MASS J13204427+0409045,0.10379063,0.063957396,101.0
SDSSp J132629.82-003831.5Â [de],0.0996801099999999,0.048683988,65.0
SDSSp J134646.45-003150.4Â [de],0.0965972199999999,0.042001872,48.0
2MASS J13595510-4034582,0.102763,0.060139044,51.0
ULAS J141623.94+134836.3,0.0986524799999999,0.030546816,29.7
SDSS J141659.78+500626.4Â [de],0.1017353699999999,0.056320692,149.0
DENIS-P J142527.97-365023.4Â [de],0.13564716,0.020046348,38.0
LHS 2924,0.10892878,0.072548688,38.5
2MASS J14392837+1929150,0.10584589,0.068730336,47.0
LSPM J1440+1339,0.1222879699999999,0.087822096,72.0
2MASS J14482563+1031590Â [de],0.1017353699999999,0.056320692,47.0
CFBDSIR 1458+10A,0.1541445,0.0105959268,104.0
CFBDSIR 1458+10B,0.1335918999999999,0.008591292,104.0
TVLM 513-46546,0.10790115,0.0715941,35.1
2MASS 1503+2525,0.0965972199999999,0.042001872,20.7
CFBDS J150411+102717,0.0965972199999999,0.042001872,71.0
2MASSW J1506544+132106Â [de],0.10481826,0.065866572,46.0
2MASS 1507âˆ’1627,0.1017353699999999,0.05727528,23.9
TVLM 868-110639,0.11098404,0.075412452,53.0
2MASSW J1515008+484742Â [de],0.1017353699999999,0.054411516,34.0
2MASSI J1526140+204341Â [de],0.1007077399999999,0.051547752,67.0
DENIS-P J153941.96-052042.4Â [de],0.102763,0.060139044,51.0
2MASS J15462718-3325111Â [de],0.0965972199999999,0.042001872,37.0
2MASSW J1552591+294849Â [de],0.1469510899999999,0.02863764,68.0
2MASSW J1555157-095605Â [de],0.10584589,0.067775748,44.0
2MASS J16150413+1340079Â [de],0.0965972199999999,0.040092696,48.0
SDSSp J162414.37+002915.6Â [de],0.0965972199999999,0.041047284,36.0
2MASS J16262034+3925190Â [de],0.10584589,0.067775748,110.0
2MASSW J1632291+190441Â [de],0.0996801099999999,0.046774812,50.0
WISEPA J164715.59+563208.2,0.0965972199999999,0.039138108,28.0
LSPM J1658+7027Â [de],0.10687352,0.069684924,60.0
2MASSI J1726000+153819,0.1438681999999999,0.022910112,114.0
SDSSp J175032.96+175903.9,0.0996801099999999,0.044865636,90.0
2MASS J18283572-4849046,0.0976248499999999,0.04295646,39.0
LSR J1835+3259,0.10995641,0.073503276,18.5
2MASSW J1841086+311727,0.10379063,0.063957396,138.0
2MASS J18432213+4040209,0.12537086,0.091640448,46.0
2MASS J20004841-7523070,0.1931944399999999,0.0238647,105.0
SDSS J204749.61-071818.3,0.0986524799999999,0.043911048,65.0
2MASSI J2057540-025230,0.10481826,0.06682116,47.0
2MASSI J2104149-103736,0.10481826,0.065866572,62.0
PSO J318.5âˆ’22,0.15722739,0.006204822,80.0
HB 2124-4228,0.1243432299999999,0.089731272,113.0
2MASS J21392676+0220226,0.0986524799999999,0.043911048,32.1
2MASS J21481628+4003593,0.1017353699999999,0.05250234,26.3
2MASSW J2206450-421721,0.13667479,0.021000936,93.0
2MASSW J2208136+292121,0.1448958299999999,0.025773876,154.0
2MASSW J2224438-015852,0.1017353699999999,0.058229868,38.0
2MASS J22282889-4310262,0.0965972199999999,0.040092696,35.0
2MASS J22373255+3922398,0.10687352,0.069684924,64.0
2MASSW J2244316+204343,0.1325642699999999,0.011455056,56.0
2MASS J23224684-3133231,0.1428405699999999,0.022910112,56.0
2MASS J23225299-6151275,0.16339317,0.016227996,148.0
2MASS J23515044-2537367,0.1192050799999999,0.084003744,67.0
2MASSI J2356547-155310,0.11201167,0.07636704,74.0
WISE 0410+1502,0.1202327099999999,0.005727528,20.0
WISE 0458+6434A,0.4316046,0.01431882,35.9
WISE 0458+6434B,0.3904993999999999,0.00954588,35.9
WISE 1405+5534,0.08837618,0.02863764,25.3
Sun,1.0,1.0,0.000015813
Sirius,1.71,2.1,0008.6
Canopus,71.0,15.0,0310
Alpha Centauri,1.2,1.1,0004.4
Arcturus,26.0,1.1,0037
Vega,2.7,2.2,0025
Capella,12.0,2.6,0043
Rigel,78.9,23.0,0860
Procyon,1.9,1.5,0011.4
Betelgeuse,950.0,20.0,0640[1]
Achernar,9.3,6.7,0144
Hadar,8.6,10.5,0390
Altair,1.8,1.8,0017
Acrux,8.9,18.0,0320
Aldebaran,44.0,1.5,0065
Antares,680.0,12.0,0600
Spica,7.47,11.43,0260
Pollux,8.8,1.9,0034
Fomalhaut,1.8,1.9,0025
Deneb,203.0,19.0,"2,600"
Mimosa,8.4,16.0,0350
Regulus,3.1,3.8,0077
Adhara,14.0,12.5,0430
Shaula,8.8,14.5,0700
Castor,2.4,2.8,0052
Gacrux,84.0,1.5,0088
Bellatrix,5.8,8.6,0240
Elnath,4.2,5.0,0130
Miaplacidus,6.8,3.5,0110
Alnilam,42.0,32.0,"2,000"
Gamma Velorum,6.0,9.0,"01,100"
Alnair,3.4,4.0,0101
Alioth,4.2,2.9,0081
Alnitak,20.0,33.0,01050
Dubhe,30.0,4.25,0120
Mirfak,68.0,8.5,0590
Wezen,200.0,17.0,"1,600"
Sargas,26.0,5.7,0270
Kaus Australis,6.8,3.5,0140
Avior,130.0,9.0,0630
Alkaid,3.4,6.1,0104
Menkalinan,2.77,2.39,081
Atria,92.0,7.0,0390
Alhena,3.3,2.8,0109
Peacock,4.8,5.9,0180
Alsephina[2],2.9,2.4,0080
Mirzam,10.0,13.5,0500
Polaris,39.0,5.4,0430
Alphard,50.0,3.0,0180
Mintaka,16.5,24.0,01200
Scheat,95.0,2.1,0196
Almaaz,140.0,15.0,0653
Rasalgethi,280.0,2.8,0360
Tau Ceti,0.893,0.783,011.9
Delta Pavonis,1.22,0.991,019.92
Ran,0.74,0.82,010.48
V382 Carinae,485.0,20.0,"08,900"
Delta Cephei,44.5,4.5,0887
Mu Cephei,972.0,19.2,"06,000"
Titawin,1.48,1.27,044.25
P Cygni,76.0,30.0,"05,545"
VV Cephei,783.0,18.2,"04,900"
61 Cygni,0.665,0.7,011.41
R Doradus,298.0,0.85,0178
Polaris Australis,3.74,1.59,0281
R Coronae Borealis,85.0,0.85,"04,566"
54 Piscium,0.94,0.76,036.1
Mira,370.0,1.2,0300
Lacaille 8760,0.51,0.6,012.87
II Pegasi,3.4,0.8,0130
Pistol Star,320.0,100.0,"025,000"
S Doradus,380.0,24.0,"0169,000"
Barnard's Star,0.2,0.14,05.98
Proxima Centauri,0.15,0.12,04.25
KIC 8462852,1.58,1.43,"01,470"
R136a1,32.0,290.0,"0163,000"
Melnick 42,21.1,189.0,"0163,000"
WR 102,0.39,19.0,"018,134"
VFTS 352,14.47,57.48,"0164,000"
YBP 1194,0.99,1.01,"02,772"
Gliese 1214,0.21,0.16,047.5
NML Cygni,2205.0,50.0,"05,251"
VB 10,0.1,0.075,018.72
TRAPPIST-1,0.12,0.089,039.6
2MASS J0523-1403,0.086,0.07,040.3
